capta,time_date,median,l_ci80,u_ci80,l_ci95,u_ci95
0,2017-03-01,210.7938133648295,179.08964148154854,245.88529914553442,165.0583050272545,266.7581941194935
0,2017-04-01,204.54120184709262,176.87218391063482,236.5381855701195,160.9071861222157,257.7039614762932
0,2017-05-01,207.63031316089126,178.45319028554394,240.54869140881274,164.6317647813245,260.75802098819133
0,2017-06-01,205.29164590025857,176.98835467190557,237.32658381811694,163.44048557007713,255.35906382032496
0,2017-07-01,207.433986769436,179.38454067070768,237.5603461691522,166.18371331599278,254.58117632934776
0,2017-08-01,235.8839095247227,206.33873980269047,267.9211891106698,191.7848749472595,287.3978916886221
0,2017-09-01,241.40706823386233,211.21112628812153,276.9654467798472,198.4739992335538,295.49438927065034
0,2017-10-01,209.66655358516454,181.98143830065337,239.6999482025749,167.74810598750614,258.23573453017565
0,2017-11-01,212.81635444987012,184.31167330232958,243.51451857641894,169.81178228031354,259.94359311459925
0,2017-12-01,234.19501321285708,203.6657280459808,268.75143114199614,189.02344935298277,289.43969633861525
0,2018-01-01,233.86732395205922,204.251199467103,267.9767780803756,187.88597040814327,286.9614858388139
0,2018-02-01,236.46393787871497,206.74924224770447,271.80192330634355,192.64421954416457,292.40387518862246
0,2018-03-01,215.85432386885876,187.58156099059903,247.69726469730958,174.03616880151617,264.22954907844263
0,2018-04-01,173.97070601908024,149.62024162983437,201.5285637690381,135.35232283147064,217.2068968958616
0,2018-05-01,161.5766970148834,138.38407969220782,187.70602430284652,127.09367367649632,203.5232643203928
0,2018-06-01,174.45040883361384,149.81227957306223,202.97274635718867,137.16066364123395,218.35211910547383
0,2018-07-01,207.64014817653236,180.2625471940552,237.66553924376916,166.70622390486218,253.74871276801142
0,2018-08-01,200.91220702946453,175.31785064816594,229.46583296941074,161.49282564900565,245.9237017267937
0,2018-09-01,186.39132391516154,160.84493726598043,213.9742085081662,148.01230015930958,231.13776893456563
0,2018-10-01,215.14843881904886,187.4465979471591,245.0206902573032,173.93840881478076,262.540481327105
0,2018-11-01,216.45365721772066,187.12074782002955,248.21355418703533,174.20557410334865,266.94329830523264
0,2018-12-01,188.86842563064135,162.47085902467717,217.28258874967446,150.54685183972293,233.16310709355278
0,2019-01-01,198.13812326385334,171.55632398988877,226.98794028597123,158.7472049361493,244.23044308828497
0,2019-02-01,211.59142679364598,184.25456449876583,243.397004807506,170.9904477874986,261.381539750605
1,2019-03-01,235.86670930234487,195.0976799675139,280.4325256311808,175.86733836169557,310.78375312774693
1,2019-04-01,202.53608595409983,173.4035352412033,236.31744397463422,158.93624658858155,255.62057624365374
1,2019-05-01,214.7480470647053,185.8997757400175,247.05815251261095,171.63289496440797,264.8012841332835
1,2019-06-01,219.17726822920787,190.61281135740143,250.57880678764172,177.66651341709692,269.33871942641
1,2019-07-01,200.22837925724883,173.53709277002628,229.1572668562284,159.6362894106573,245.56430035440994
1,2019-08-01,193.55762383644526,168.61954017737577,221.66963390281575,156.4350025941029,237.18703435361968
1,2019-09-01,178.88264402244062,153.8361426108461,205.99027046781544,142.6856092965521,221.75917141231997
1,2019-10-01,177.8150130113474,153.26723201531817,203.0614675078082,140.30169228626804,217.46699408783658
1,2019-11-01,206.4717667187511,180.05298397800286,236.61020481223102,167.20955399335426,252.45931466516868
1,2019-12-01,211.92063682014393,185.95081461614683,242.17185749009872,172.71793190274997,261.10900605892806
1,2020-01-01,181.42799233303498,157.62923735634064,207.04930286646507,145.34984594988185,221.60955067244637
1,2020-02-01,191.2000149282831,166.43886553635022,219.4339199695016,153.78447813168543,237.01131146879953
1,2020-03-01,184.08426367149445,161.82370596879844,210.57964207769305,150.74665479329957,225.90626941461574
1,2020-04-01,185.2651109571356,161.7319581803883,211.47482996087913,151.49702331311792,228.15497155566868
1,2020-05-01,186.6877350470472,164.3493555837815,213.27038503981152,154.23822233403976,230.03723567397358
1,2020-06-01,172.996746636402,151.72717989086334,196.61792361133124,140.79922533864607,211.13295092017933
1,2020-07-01,165.81802928302614,145.9532675047314,188.28925836683035,135.70839913528513,201.93735121906147
1,2020-08-01,165.10159837865143,144.63958185869197,189.20358790280224,135.29875866270328,204.22909838942275
1,2020-09-01,163.3546097755218,143.01978925337787,185.91302555558926,133.76854920521868,199.3006728229902
1,2020-10-01,165.03812626151858,143.94221227431595,189.33690052775205,134.17042491761532,203.2339616544135
1,2020-11-01,170.08362207066037,148.16612953636522,195.16661361487073,138.2590422503175,209.62895093830113
1,2020-12-01,189.7837832966531,164.25403446131332,217.63415838651298,152.51984897985565,236.84368454026756
1,2021-01-01,189.61829251143297,163.01356549332536,220.8400627954981,150.6630199706171,239.92492469659015
1,2021-02-01,177.39996963235384,152.19294747315166,207.7562053463054,140.92829930367367,226.070382554547
1,2021-03-01,173.99021118885753,150.35511794463915,202.59495070243042,139.11922755683597,222.47680697955113
1,2021-04-01,159.28700061863833,137.57721347006606,185.403655217609,127.27052210681326,201.36190855296195
1,2021-05-01,169.6386329350151,145.66439411999536,198.8066591099501,133.77538340185964,217.02013530529166
1,2021-06-01,171.28985530077284,146.49436595960626,201.58645248014108,135.61039671510878,220.98341637686516
1,2021-07-01,144.86021460638455,124.27265228770949,168.49937502920008,115.28687964751987,182.72226478162042
1,2021-08-01,133.79197470420053,113.66464874698532,155.0655184547867,103.41250058733027,168.49474003599025
1,2021-09-01,122.68478503335433,104.56193718741494,143.63863201788737,96.73582647434544,156.92348382400112
1,2021-10-01,117.25768379241083,99.571472433396,137.95834355603287,90.96479948512484,149.73689125856225
1,2021-11-01,110.37047937017337,93.42939262792534,130.94424530686132,85.53950829526326,143.150275255661
1,2021-12-01,102.82654153793774,86.54605243909067,121.24584164475726,78.90403403865413,132.1101276958931
1,2022-01-01,102.28064933598637,85.62853090820614,120.87933389410225,77.06173031563502,132.6614204839731
1,2022-02-01,100.70160146735952,84.2850652839017,120.75911555073927,75.55767761635558,131.93501984277478
1,2022-03-01,90.22715821996714,75.3492146367981,107.77216665241801,68.11802317200632,118.29033803575454
1,2022-04-01,94.51165611667307,78.79524073600622,112.30414727451945,71.82501435719949,123.58682152885861
1,2022-05-01,92.20515037892999,75.79994806980287,111.00196563208185,68.25123958060982,123.14435925738822
1,2022-06-01,83.82529384960506,69.14563426209823,100.8212255317737,62.335716422196086,110.40411041940347
1,2022-07-01,85.32746480195448,70.89654676303142,102.32479577876198,63.791560012533424,111.8144699446157
